"","X","Lokacija.","Ukupan.broj.soba.","Cijena.","Površina.","Godina.izgradnje.","Spavaće.sobe.","Kupaonice."
"2","http://www.remax-svijetnekretnina.com/stan/istrapula-siri-centar-stan-u-staroj-zgradi-visoko-prizemlje","Širi centar, Pula",3,70000,58.7,1900,1,1
"11","http://www.remax-svijetnekretnina.com/stan/istra-savudrija-stan-na-dvije-etaze-nedaleko-od-mora-i-plaza","Savudrija, Umag",4,245000,76.78,2004,2,2
"18","http://www.remax-svijetnekretnina.com/stan/istra-porec-dvosoban-stan-sa-pogledom-na-more-u-mugebi","Mugeba, Poreč",3,115000,59.36,2004,2,1
"23","http://www.remax-svijetnekretnina.com/stan/istra-barbariga-stan-u-novogradnji-sa-velikom-terasom-i-pogledom-na-more","Barbariga, Vodnjan",2,90000,44,2019,1,1
"29","http://www.remax-svijetnekretnina.com/stan/istra-barbariga-jednosoban-stan-u-novogradnji-sa-velikom-terasom","Barbariga, Vodnjan",2,90000,44,2019,1,1
"32","http://www.remax-svijetnekretnina.com/stan/istra-funtana-stan-u-prizemlju-s-okucnicom","Funtana, Vrsar",3,120000,57.65,2018,2,1
"44","http://www.remax-svijetnekretnina.com/stan/istra-novigrad-prekrasan-stan-u-novogradnji-na-900-metara-od-mora","Novigrad",3,199000,93.78,2019,2,1
"45","http://www.remax-svijetnekretnina.com/stan/okolica-poreca-moderan-stan-s-dvije-spavace-sobe-i-pogledom-na-more","Poreč",3,120000,81,2012,2,1
"48","http://www.remax-svijetnekretnina.com/stan/istra-umag-centar-moderno-uredeni-luksuzni-stan","Umag",3,218000,70.71,2009,2,1
"50","http://www.remax-svijetnekretnina.com/stan/umag-centar-fantastican-stan-na-odlicnoj-lokaciji","Umag",3,187000,78.7,2011,2,1
"71","http://www.remax-svijetnekretnina.com/stan/istra-umag-komforni-dvoetazni-stan-300m-od-mora","Umag",4,200000,94.37,2007,2,1
"87","http://www.remax-svijetnekretnina.com/stan/istra-rovinj-prodaje-se-dvosoban-stan-sa-vrtom-u-prizemlju-privatne-kuce","Rovinj",4,250000,118,1985,2,1
"94","http://www.remax-svijetnekretnina.com/stan/istraliznjan-dvoetazni-stan-sa-lijepim-pogledom-svega-700m-od-mora","Ližnjan",3,160000,75,2015,2,2
