,Lokacija:,Transakcija:,Vrsta nekretnine:,Ukupan broj soba:,Toaleti:,Ukupno katova:,Cijena:,Površina:,Okućnica:,Godina izgradnje:,Nekretnina (stanje):,Stil gradnje:,Razred energetske učinkovitosti:,Lift:,Pristup invalidima:,Nekretnina se prodaje/iznajmljuje:,Visina plafona:,Namjena poslovnog prostora:,P.P. sa izlogom:,Pristup kamionima/šleperima:,Struja:,Parking:,Parking (broj):,Natkriveni parking:,Povlašteni parking:,Garaža:,Pogled na more:,Pogled na:,Udaljenost od mora:,Ključ u agenciji:,naziv,opis,dodatne_oznake,Spavaće sobe:,Kupaonice:,Površina okućnice:,Površina balkona/lođe/terase:,Roštilj:,Dimnjak:,Bazen:,Vrt:,Vrsta kuće/vikendice:,Tlocrtna površina nekretnine:,Mogućnost zamjene:,Namjena terena:,Površina građevinskog dijela:,Površina negrađevinskog dijela:,Instalacije struje:,Instalacije vode:,Pod: parket/laminat/pločice:,Pripojene prostorije:,Fasada:,Krov:,Struja-zakupljena snaga:,Vanjska stolarija:,Unutarnja stolarija:,Kupaonica/ kuhinja:
http://www.remax-svijetnekretnina.com/poslovni-prostor/istra-veruda-pula-poslovni-prostor-frizerski-salon,"Veruda, Pula",Za prodaju,Poslovni prostor,1,1,1,52.000 € (386.143 kn),"20,80 ",nema okućnice,1998 god.,dovršena,moderan,B,ne,da,namještena,"3,2 m","Tiha djelatnost, frizerski salon",da,da,monofazna,da,Pokraj zgrade,ne,ne,ne,ne,Naselje,500-1000m,Ne,"Istra, Veruda, Pula, poslovni prostor-frizerski salon (ID: 300041074-271)","
                        Prodaje se poslovni prostor od 20,8  u prizemlju stambeno poslovne zgrade na Verudi. Prostor se trenutno koristi za frizerski salon, a sastoji se od poslovne prostorije, spremišta i WC-a.
U okolici zgrade ima veliko slobodno parkiralište i zbog dosta guste naseljenosti ovog dijela grada te blizine sporstkih objekata i lokalnih plaža ovo je dobra lokacija za poslovanje.
Prostor se prodaje namješten osim sitnijeg alata za rad u frizerskom salonu. Postoji mogućnost prenamjene u stambeni prostor.                    ","['Spremište', 'Struja', 'Voda', 'Pričuva', 'Komunalije', 'Klima uređaj', 'Struja', 'Voda', 'Struja', 'Kanalizacija', 'nema otvoren pogled', 'Jug', 'Zapad', 'U blizini glavne ceste / autoputa', 'U blizini javnog prijevoza', 'U blizini škole/vrtića/igrališta', 'U blizini trgovine', 'U blizini bolnice', 'U blizini crkve', 'U blizini mora/plaže', 'U blizini parka/šume']",,,,,,,,,,,,,,,,,,,,,,,,
http://www.remax-svijetnekretnina.com/stan/istrapula-siri-centar-stan-u-staroj-zgradi-visoko-prizemlje,"Širi centar, Pula",Za prodaju,Stan/Apartman,3,1,1,70.000 € (519.808 kn),"58,70 ",zajednička na korištenje,1900 god.,dovršena,klasičan,U izradi,ne,uz manju adaptaciju,namještaj po dogovoru,,,,,,ne,,ne,ne,da,ne,Naselje,više od 1km,Ne,"Istra,Pula, širi centar, stan u staroj zgradi, visoko prizemlje (ID: 300041074-270)","
                        Na prodaju je, ekskluzivno sa Remaxom, stan u staroj zgradi, visoko prizemlje. U zgradi je još samo jedan stan isto u visokom prizemlju.
Stan se sastoji od ulaznog zajedničkog hodnika, malog hodnika u stanu, jedne spavaće sobe, dnevnog boravka, kuhinje-blagovaone i kupatila.
Iza zgrade se nalazi zajedničko dvorište, te terasa iznad kuhinje i kupatila. Na dodatnom zajedničkom dvorištu se nalazi i garaža na korištenje koja ima ulaz iz druge, sporedne ulice.
Stan je za renoviranje i moderniziranje, ali se i uz manje ulaganja može živjeti u njemu.
Zbog svoje dobre lokacije na području šireg centra i blizine svih potrebnih sadržaja za ugodan gradski život te činjenica da zgrada ima samo 2 stana i puno potencijala, ovo bi mogla biti dobra prilika za sve ljubitelje starijih građevina.                    ","['Kupaonica sa prozorom', 'Kuhinja sa prozorom', 'Hodnik', 'Balkon/lođa/terasa', 'Struja', 'Voda', 'Komunalije', 'Klasično', 'Struja', 'Termo peć', 'Voda', 'Struja', 'Kanalizacija', 'nema otvoren pogled', 'Zapad', 'Istok', 'U blizini centra', 'U blizini glavne ceste / autoputa', 'U blizini javnog prijevoza', 'U blizini škole/vrtića/igrališta', 'U blizini trgovine', 'U blizini bolnice', 'U blizini crkve', 'U blizini parka/šume']",1,1,200 ,5 ,nema,ima,nema,na korištenje,,,,,,,,,,,,,,,,
http://www.remax-svijetnekretnina.com/kuca/istra-pula-stoja-kuca-pogled-more,"Stoja, Pula",Za prodaju,Kuća/Vikendica,12,,3,935.000 € (6.943.144 kn),450 ,,1990 god.,dovršena,klasičan,U izradi,ne,ne,namještena,,,,,,da,5,da,da,da,da,more,2. red,Ne,"Istra, Pula, Stoja, Kuća pogled more (ID: 300041094-14)","
                        Istra, Pula, Stoja, Kuća pogled more.

Na prodaju je prostrana kuća koja se sastoji od tri trosobna stana ukupne površine 300 i ugostiteljskim objektom površine 150 na okućnici površine 388.
Kuća se nalazi na predivnoj lokaciji svega 50m do prve plaže, 100m do trgovačkog centra, u blizini je gradski javni prijevoz i turističko naselje kamp Stoja.
Idealna nekretnina za bavljenje iznajmljivanjem pošto se nalazi na atraktivnoj poziciji i u prizemlju kuće nalazi se ugostiteljski objekt.
","['Balkon/lođa/terasa', 'Klima uređaj', 'Struja', 'Voda', 'Struja', 'Kanalizacija', 'Internet', 'otvoren pogled', 'Istok', 'U blizini javnog prijevoza', 'U blizini trgovine', 'U blizini mora/plaže', 'U blizini parka/šume']",9,,,,,ima,,,samostojeća,136 ,,,,,,,,,,,,,,
http://www.remax-svijetnekretnina.com/stan/rovinj-stan-u-novijoj-zgradivisoke-kvalitete-izgradnje-povoljno,Rovinj,Za prodaju,Stan/Apartman,3,,3,115.000 € (853.970 kn),55 ,nema okućnice,,dovršena,klasičan,U izradi,ne,ne,djelomično namještena,,,,,,da,1,ne,ne,ne,ne,,više od 1km,Ne,"Rovinj-stan u novijoj zgradi,visoke kvalitete izgradnje-POVOLJNO! (ID: 300041092-107)","
                        Rovinj-stan u novijoj zgradi-POVOLJNO!

Prodajemo lijep i funkcionalan stan u Rovinju spreman za življenje odmah.
Stan se sastoji od 1spavaće sobe,dnevnog boravka,kuhinje,kupatila,predprostora i terase.
Dobra lokacija,blizina svih trgovačkih centara.
Parking ispred zgrade.
Stan je namješten.

Cijena je 115 000eura                    ","['Struja', 'Voda', 'Klasično', 'Struja', 'Voda', 'Struja', 'Kanalizacija', 'Internet', 'otvoren pogled', 'Istok', 'U blizini glavne ceste / autoputa', 'U blizini škole/vrtića/igrališta', 'U blizini trgovine']",1,,,5 ,nema,ima,nema,nema,,,ne,,,,,,,,,,,,,
http://www.remax-svijetnekretnina.com/gradevinsko-zemljiste/istra-barban-veliko-zemljiste-5ha-za-investicijsko-ulaganje,Barban,Za prodaju,Građevinsko zemljište,,,,700.000 € (5.198.076 kn),46.278 ,,,,,,,,,,,,,,,,,,,ne,,više od 1km,,"ISTRA, BARBAN - Veliko zemljište 5ha za investicijsko ulaganje (ID: 300041093-229)","
                        Prodaje se veliko zemljište ukupne površine 46 278 od kojih 20 000 čine građevinski dio turističke namjene a ostatak od 26 278 rekreacijske namjene. 
Turistička namjena zemljišta ne ograničava gradnju kuća za odmor ni u kojem pogledu a rekreacijska namjena ostatka zemljišta dozvoljava gradnju popratnih sadržaja u cilju oplemenjivanja cijelog turističkog kompleksa. Cijena zemljišta je 700 000e odnosno prosječna cijena građevinskog zemljišta tog područja 30e/ te 3e/ za rekreacijski dio.
Zemljište je jedino u građevinsko u radiusu od 1,5 km stoga su potpuni mir i privatnost osigurani a prilaz je direktan sa sporedne asfaltirane ceste. 
Sa zemljišta se ne vidi direktno more no s viših katova kuća to bi trebalo biti moguće s obzirom da je udaljenost od istog manja od 2,5 km
Infrastruktura je nedavno dovedena do samog ruba parcele a uključuje struju, vodu i kanalizaciju. 
Vlasništvo pravne osobe.                     ","['bez infrastrukture', 'Voda', 'Struja', 'Kanalizacija', 'otvoren pogled', 'Pogled - prekrasan!', 'Jug', 'Istok', 'U blizini centra', 'Na osami', 'U blizini glavne ceste / autoputa', 'U mirnoj ulici', 'U blizini javnog prijevoza', 'U blizini škole/vrtića/igrališta', 'U blizini trgovine', 'U blizini bolnice', 'U blizini crkve', 'U blizini mora/plaže', 'U blizini parka/šume', 'U blizini jezera/rijeke/potoka']",,,,,,,,,,,,Turistička,20000 ,26278 ,,,,,,,,,,
http://www.remax-svijetnekretnina.com/negradevinsko-zemljiste/istra-pazin-parcela-na-brijegu-20ha-s-bezbrojnim-mogucnostima-25e,"Grdoselo, Pazin - Okolica",Za prodaju,Negrađevinsko zemljište,,,,3 € (19 kn),190.466 ,,,,,,,,,,,,,,,,,,,ne,,više od 1km,,"ISTRA, PAZIN - Parcela na brijegu 20ha s bezbrojnim mogućnostima - 2,5e/ (ID: 300041093-228)","
                        Prodaje se parcela površine 190466 u Grdoselu pokraj Pazina. Parcela se sastoji od desetak parcela koje čine cjelinu i moguća je i pojedinačna prodaja. 
Parcele imaju slijedeće kvadrature: 78290, 2960, 2585, 37157, 16288, 25220, 1892, 3780, 22294. 
Parcele se nalaze na visokom brijegu koji gleda na jezero Butoniga i na sva okolona mjesta, a pogled s vrha je fantastičan. Pristupni put postoji i prohodan je. 
Infrastruktura nije daleko no potrebna su ulaganja po tom pitanju. Investitor koji prepoznaje vrijednost nekretnine zna da ovakvo zemljište nudi beskraj mogućnosti poput zabavnog parka i slično no i velikog imanja na posebnoj lokaciji.                     ","['bez infrastrukture', 'bez infrastrukture', 'otvoren pogled', 'Pogled - prekrasan!', 'Jug', 'Zapad', 'Na osami', 'U blizini glavne ceste / autoputa', 'U mirnoj ulici', 'U blizini javnog prijevoza', 'U blizini škole/vrtića/igrališta', 'U blizini trgovine', 'U blizini bolnice', 'U blizini crkve', 'U blizini mora/plaže', 'U blizini parka/šume', 'U blizini jezera/rijeke/potoka']",,,,,,,,,,,,Poljoprivredna,10000 ,,,,,,,,,,,
http://www.remax-svijetnekretnina.com/kuca/istra-labin-kuca-za-odmor-s-bazenom-na-odlicnoj-lokaciji,Labin,Za prodaju,Kuća/Vikendica,7,,2,235.000 € (1.745.068 kn),126 ,,2009 god.,dovršena,klasičan,U izradi,da,ne,namještena,,,,,,da,,ne,da,ne,ne,,više od 1km,Ne,"ISTRA, LABIN - Kuća za odmor s bazenom na odličnoj lokaciji (ID: 300041093-227)","
                        Svega nekoliko minuta vožnje od Labina, u rezidencijalnom naselju, smještena je ova kuća za odmor s bazenom. 
Kuća se nalazi na parceli od 1716 a na zemljištu su također bazen od 31 i pomoćna zgrada površine 49 koju treba urediti s unutarnje strane. 
Kuća se prostire kroz dvije etaže: u prizemlju se nalaze dnevni boravak, kuhinja, kupaonica i jedna spavaća soba dok su na katu 3 spavaće sobe i jedna kupaona. 
Treba napomenuti kako je kuća građena kvalitetnim materijalima i posjeduje centralno grijanje na drva te klima uređaje u svakoj sobi.  Nekretnina se prodaje namještena.
Kuća je kategorizirana sa 4* te je u funkciji turističkog najma ljeti i ostvaruje prihode koje bi vratile investiciju u razdoblju 11-13 godina. 
Kuća nudi potpunu privatnost s obzirom da je samo jedna susjedna kuća u neposrednoj blizini. Svi potrebni sadržaji za normalan život se nalaze u blizini. 
Udaljenost od centra grada Labina je 3km dok od mora i plaža svega 6km.                     ","['Kupaonica sa prozorom', 'Kuhinja sa prozorom', 'Spremište', 'Hodnik', 'Balkon/lođa/terasa', 'Klasično', 'Centralno', 'Klima uređaj', 'Struja', 'Drva', 'Voda', 'Struja', 'Septička jama', 'Internet', 'otvoren pogled', 'Pogled - prekrasan!', 'Jug', 'Zapad', 'U blizini centra', 'Na osami', 'U blizini glavne ceste / autoputa', 'U mirnoj ulici', 'U blizini javnog prijevoza', 'U blizini škole/vrtića/igrališta', 'U blizini trgovine', 'U blizini bolnice', 'U blizini crkve', 'U blizini mora/plaže', 'U blizini parka/šume', 'U blizini jezera/rijeke/potoka']",4,,,,,ima,,,samostojeća,96 ,ne,,,,,,,,,,,,,
http://www.remax-svijetnekretnina.com/stan/istra-pula-stoja-predivan-stan-54,"Stoja, Pula",Za prodaju,Stan/Apartman,2,,4,155.000 € (1.151.003 kn),54 ,zajednička na korištenje,1985 god.,dovršena,klasičan,A+,ne,ne,namještena,,,,,,ne,,ne,ne,ne,da,"Stadion, more",500-1000m,Ne,"Istra, Pula, Stoja, predivan stan 54 (ID: 300041094-13)","
                        Istra, Pula, Stoja, predivan stan 54.
Na prodaju je novo adaptiran stan na Stoji koji se sastoji od hodnika, kuhinje, dnevnog boravka, sobe, ostave i lođe ukupne površine 54.
Stan je adaptiran u Ožujku 2019. godine, kompletno izmijenjena struja u stanu, ugrađena dva klima uređaja, jedan u spavaćoj sobi, drugi u hodniku, novi podovi i pločice, kuhinja kompletno nova, nova PVC stolarija u cijelom stanu, fasada i krov renovirani 2018. godine. 
Parking je ispred zgrade zajednički.
Stan se nalazi u predivnom kvartu u blizini škole, vrtića, igrališta, parka, šume, crkve, javnog prijevoza, trgovine, pošte, banke, novog gradskog bazena, novog trgovačkog centra i svega 500m do prve plaže. 
Stan je kategorizirani Apartman sa tri zvjezdice i uhodan turizam tokom cijele godine sa visokim ROI i odličnim recenzijama. 
","['Spremište', 'Struja', 'Voda', 'Grijanje', 'Pričuva', 'Komunalije', 'Klima uređaj', 'Struja', 'Voda', 'Struja', 'Kanalizacija', 'Internet', 'Parlafon', 'djelomično otvoren pogled', 'Istok', 'U blizini centra', 'U mirnoj ulici', 'U blizini javnog prijevoza', 'U blizini škole/vrtića/igrališta', 'U blizini trgovine', 'U blizini bolnice', 'U blizini crkve', 'U blizini mora/plaže', 'U blizini parka/šume']",1,,,,nema,ima,nema,nema,,,ne,,,,,,,,,,,,,
http://www.remax-svijetnekretnina.com/gradevinsko-zemljiste/istra-vodnjan-atraktivno-zemljiste-s-predivnim-pogledom-na-more-i-brijune,Vodnjan,Za prodaju,Građevinsko zemljište,,,,247.800 € (1.840.119 kn),3.540 ,,,,,,,,,,,,,,,,,,,da,,više od 1km,,"Istra, Vodnjan, atraktivno zemljište s predivnim pogledom na more i Brijune (ID: 300441011-60)","
                        Građevinsko zemljište na fantastičnoj lokaciji, u zelenom i mirnom okruženju, 
Pozicija s predivnim pogledima na more, Brijune, maslinike, šume i livade, te grad Vodnjan.
U malom naselju idealnom za izgradnju kuća za odmor gdje se u okruženju već nalazi nekoliko luksuznih vila.
Odlična prilika za investitore.                    ","['bez infrastrukture', 'Voda', 'Struja', 'Kanalizacija', 'Telefon', 'otvoren pogled', 'Pogled - prekrasan!', 'Sjever', 'Jug', 'Zapad', 'Istok', 'Predgrađe', 'U blizini glavne ceste / autoputa', 'U mirnoj ulici', 'U blizini parka/šume']",,,,,,,,,,,,građevinsko,3540 ,,,,,,,,,,,
http://www.remax-svijetnekretnina.com/kuca/istramomjan-okolicaautohtono-istarsko-imanje-za-adaptaciju,"Kućibreg, Buje",Za prodaju,Kuća/Vikendica,10,1,3,270.000 € (2.004.972 kn),1.280 ,,,nedovršena,autohtoni,Izuzeto od obveze,ne,uz manju adaptaciju,nenamještena,,,,,,da,10,ne,da,ne,da,okolinu,više od 1km,Ne,"Istra,Momjan-okolica,autohtono Istarsko imanje za adaptaciju (ID: 300441010-59)","
                        Ova prekrasna autohtona istarska kamena kuća za adaptaciju nalazi se u malom mjestu smještenom na brežuljku nadomak Momjana.
Nekretnina se sastoji od dvije kamene kuće te velike okućnice od 1100.
Kuća se mora kompletno adaptirati ali pruža neizmjerno puno mogućnosti kako za život u mirnom ruralnom okruženju tako i za izgradnju kuće/vile za odmor u jednom od najljepših i najcjenjenijih mjesta u Istri.
Imanje koje zaista vrijedi pogledati                     ","['Vanjska stolarija', 'Unutarnja stolarija', 'Instalacije struje', 'Instalacije vode', 'Kupaonica/ kuhinja', 'Pod: parket/laminat/pločice', 'Krov', 'Fasada', 'Struja', 'Voda', 'Grijanje', 'Komunalije', 'nema', 'nema', 'Voda', 'otvoren pogled', 'Pogled - prekrasan!', 'Sjever', 'Jug', 'Zapad', 'Istok', 'Predgrađe', 'Na osami', 'U mirnoj ulici', 'U blizini parka/šume']",8,1,1.100 ,,,ima,,,dvojna,180 ,ne,,,,,,,,,,,,,
